policy,rc_flip_prob,mean_reward,reward_std,mean_regret,regret_std,llm_coverage,reps,clean_reward,clean_regret,reward_drop_from_clean,regret_increase_from_clean
EpsilonGreedy,0.0,0.6334234234234237,0.0,0.03504504504504505,0.0,0.0,20,0.6334234234234237,0.03504504504504505,0.0,0.0
EpsilonGreedy,0.1,0.6270360360360362,0.008202594707931618,0.03687837837837838,0.006245543137713901,0.0,20,0.6334234234234237,0.03504504504504505,0.006387387387387533,0.0018333333333333326
EpsilonGreedy,0.2,0.615238738738739,0.00966626983259836,0.04958558558558559,0.009889690135595276,0.0,20,0.6334234234234237,0.03504504504504505,0.018184684684684704,0.01454054054054054
EpsilonGreedy,0.3,0.6076441441441444,0.00784882706557904,0.05193243243243244,0.006704012564670152,0.0,20,0.6334234234234237,0.03504504504504505,0.025779279279279366,0.01688738738738739
EpsilonGreedy,0.4,0.6023018018018019,0.007969495053042947,0.05766666666666668,0.01094623960799238,0.0,20,0.6334234234234237,0.03504504504504505,0.031121621621621798,0.02262162162162163
M6 LinUCB,0.0,0.5088288288288288,0.0,0.1596396396396396,0.0,0.0,20,0.5088288288288288,0.1596396396396396,0.0,0.0
M6 LinUCB,0.1,0.513981981981982,0.006994404586666401,0.14993243243243243,0.0058094506625043785,0.0,20,0.5088288288288288,0.1596396396396396,-0.005153153153153123,-0.009707207207207164
M6 LinUCB,0.2,0.5260495495495496,0.010702247493005562,0.1387747747747748,0.009451865361474576,0.0,20,0.5088288288288288,0.1596396396396396,-0.017220720720720784,-0.0208648648648648
M6 LinUCB,0.3,0.529063063063063,0.013319338316682494,0.13051351351351353,0.010412206636850366,0.0,20,0.5088288288288288,0.1596396396396396,-0.020234234234234205,-0.029126126126126056
M6 LinUCB,0.4,0.5393243243243243,0.011501839886308306,0.12064414414414418,0.009898060720662785,0.0,20,0.5088288288288288,0.1596396396396396,-0.03049549549549546,-0.038995495495495414
M7 LinUCB+LLM,0.0,0.4840540540540541,0.0,0.1844144144144144,0.0,0.0,20,0.4840540540540541,0.1844144144144144,0.0,0.0
M7 LinUCB+LLM,0.1,0.49017117117117126,0.005360083428781273,0.17374324324324325,0.007637435995107371,0.0,20,0.4840540540540541,0.1844144144144144,-0.0061171171171171546,-0.01067117117117114
M7 LinUCB+LLM,0.2,0.503454954954955,0.012605575324564161,0.16136936936936938,0.011135038461649975,0.0,20,0.4840540540540541,0.1844144144144144,-0.019400900900900853,-0.02304504504504501
M7 LinUCB+LLM,0.3,0.5110585585585585,0.011849893328306112,0.14851801801801803,0.00909360354021118,0.0,20,0.4840540540540541,0.1844144144144144,-0.027004504504504423,-0.03589639639639636
M7 LinUCB+LLM,0.4,0.520463963963964,0.012700441842190211,0.13950450450450452,0.011827797588734243,0.0,20,0.4840540540540541,0.1844144144144144,-0.03640990990990989,-0.04490990990990987
M8 RewardRanker,0.0,0.6351351351351354,0.0,0.03333333333333333,0.0,0.0,20,0.6351351351351354,0.03333333333333333,0.0,0.0
M8 RewardRanker,0.1,0.6279054054054056,0.007865387345048349,0.03600900900900901,0.004498440679082382,0.0,20,0.6351351351351354,0.03333333333333333,0.007229729729729795,0.0026756756756756775
M8 RewardRanker,0.2,0.6291216216216219,0.008771495702609704,0.035702702702702704,0.004198837144115983,0.0,20,0.6351351351351354,0.03333333333333333,0.006013513513513535,0.0023693693693693715
M8 RewardRanker,0.3,0.6217792792792796,0.007378932989667701,0.03779729729729729,0.004017215802308694,0.0,20,0.6351351351351354,0.03333333333333333,0.013355855855855858,0.004463963963963959
M8 RewardRanker,0.4,0.6194819819819821,0.009287855051042382,0.040486486486486485,0.005483737781582494,0.0,20,0.6351351351351354,0.03333333333333333,0.0156531531531533,0.007153153153153152
RuleLookup,0.0,0.6351351351351354,0.0,0.03333333333333333,0.0,0.0,20,0.6351351351351354,0.03333333333333333,0.0,0.0
RuleLookup,0.1,0.6277702702702705,0.007893578059246785,0.036144144144144144,0.004530753298237426,0.0,20,0.6351351351351354,0.03333333333333333,0.007364864864864873,0.0028108108108108112
RuleLookup,0.2,0.6288963963963966,0.008788524088383426,0.03592792792792793,0.004131921696024733,0.0,20,0.6351351351351354,0.03333333333333333,0.006238738738738814,0.0025945945945945945
RuleLookup,0.3,0.6214414414414418,0.007382007778837169,0.03813513513513513,0.004134660433006608,0.0,20,0.6351351351351354,0.03333333333333333,0.013693693693693665,0.0048018018018018
RuleLookup,0.4,0.6189414414414417,0.00941303040548202,0.04102702702702703,0.00556738495989366,0.0,20,0.6351351351351354,0.03333333333333333,0.016193693693693723,0.007693693693693694
